Total hosts (including soft deleted): 296
--- DUPLICATES FOUND ---
DUPLICATE GROUP: mid:2-hostid:10777 count: 37
  -> Host: ID=177, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:19:36.863 +0800 CST true}
  -> Host: ID=185, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:19:36.687 +0800 CST true}
  -> Host: ID=193, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:19:36.596 +0800 CST true}
  -> Host: ID=201, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:19:36.492 +0800 CST true}
  -> Host: ID=209, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:30:11.232 +0800 CST true}
  -> Host: ID=217, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:30:11.12 +0800 CST true}
  -> Host: ID=225, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:30:10.981 +0800 CST true}
  -> Host: ID=233, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:30:10.722 +0800 CST true}
  -> Host: ID=241, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:30:10.575 +0800 CST true}
  -> Host: ID=249, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:30:10.449 +0800 CST true}
  -> Host: ID=257, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:30:10.315 +0800 CST true}
  -> Host: ID=265, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:30:10.132 +0800 CST true}
  -> Host: ID=273, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
  -> Host: ID=281, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
  -> Host: ID=289, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
DUPLICATE GROUP: mid:2-hostid:10771 count: 37
  -> Host: ID=3, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:55:35.84 +0800 CST true}
  -> Host: ID=11, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:55:30.568 +0800 CST true}
  -> Host: ID=19, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:55:30.48 +0800 CST true}
  -> Host: ID=27, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:55:30.385 +0800 CST true}
  -> Host: ID=35, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:55:30.303 +0800 CST true}
  -> Host: ID=43, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:55:30.214 +0800 CST true}
  -> Host: ID=51, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:55:29.9 +0800 CST true}
  -> Host: ID=59, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:55:29.802 +0800 CST true}
  -> Host: ID=67, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:55:29.679 +0800 CST true}
  -> Host: ID=75, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:55:29.589 +0800 CST true}
  -> Host: ID=83, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:55:29.517 +0800 CST true}
  -> Host: ID=91, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:55:29.436 +0800 CST true}
  -> Host: ID=99, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:55:29.322 +0800 CST true}
  -> Host: ID=107, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:56:11.117 +0800 CST true}
  -> Host: ID=115, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 13:56:11.024 +0800 CST true}
  -> Host: ID=123, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:19:37.77 +0800 CST true}
